id,date,Minneapolis
422,10/19/12,76
423,10/19/12,76
424,10/19/12,76
425,10/19/12,76
426,10/19/12,75
427,10/19/12,75
428,10/19/12,93
429,10/19/12,93
430,10/19/12,93
431,10/19/12,93
432,10/19/12,93
433,10/19/12,93
434,10/19/12,100
435,10/19/12,93
436,10/19/12,87
437,10/19/12,87
438,10/19/12,81
439,10/19/12,75
440,10/19/12,70
441,10/19/12,70
442,10/19/12,76
443,10/19/12,70
444,10/19/12,70
445,10/20/12,70
446,10/20/12,76
447,10/20/12,76
448,10/20/12,81
449,10/20/12,81
450,10/20/12,81
451,10/20/12,87
452,10/20/12,93
453,10/20/12,93
454,10/20/12,93
455,10/20/12,93
456,10/20/12,93
457,10/20/12,93
458,10/20/12,100
459,10/20/12,100
460,10/20/12,93
461,10/20/12,93
462,10/20/12,100
463,10/20/12,93
464,10/20/12,76
465,10/20/12,71
466,10/20/12,66
467,10/20/12,62
468,10/20/12,61
469,10/21/12,66
470,10/21/12,66
471,10/21/12,81
472,10/21/12,81
473,10/21/12,86
474,10/21/12,81
475,10/21/12,83
476,10/21/12,85
477,10/21/12,88
478,10/21/12,90
479,10/21/12,92
480,10/21/12,95
481,10/21/12,97
482,10/21/12,100
483,10/21/12,95
484,10/21/12,91
485,10/21/12,87
486,10/21/12,83
487,10/21/12,78
488,10/21/12,74
489,10/21/12,70
490,10/21/12,66
491,10/21/12,62
492,10/21/12,81
493,10/22/12,81
494,10/22/12,81
495,10/22/12,81
496,10/22/12,81
497,10/22/12,87
498,10/22/12,87
499,10/22/12,87
500,10/22/12,87
501,10/22/12,87
502,10/22/12,93
503,10/22/12,87
504,10/22/12,87
505,10/22/12,84
506,10/22/12,81
507,10/22/12,79
508,10/22/12,76
509,10/22/12,71
510,10/22/12,54
511,10/22/12,48
512,10/22/12,42
513,10/22/12,43
514,10/22/12,46
515,10/22/12,46
516,10/22/12,49
517,10/23/12,59
518,10/23/12,63
519,10/23/12,76
520,10/23/12,71
521,10/23/12,71
522,10/23/12,62
