ID,STATION,NAME,DATE,PRCP,TMAX,TMIN
176,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/25/17,0,64,52
177,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/26/17,0.03,66,48
178,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/27/17,0,69,51
179,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/28/17,0.54,75,56
180,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/29/17,0.11,79,61
181,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/30/17,0.05,74,58
182,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/1/17,0,77,60
183,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/2/17,0,74,63
184,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/3/17,0,78,57
185,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/4/17,0,81,64
186,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/5/17,0.1,85,66
187,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/6/17,0,90,72
188,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/7/17,0,91,65
189,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/8/17,0,80,57
190,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/9/17,0,80,65
191,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/10/17,0,82,67
192,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/11/17,0,83,60
193,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/12/17,0.04,84,66
194,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/13/17,0,84,55
195,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/14/17,0,68,54
196,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/15/17,0,75,58
197,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/16/17,0,91,64
198,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/17/17,0,82,66
199,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/18/17,0.9,90,67
200,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/19/17,0.04,78,59
201,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/20/17,0.17,80,64
202,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/21/17,0,86,65
203,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/22/17,0,82,67
204,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/23/17,0.01,87,65
205,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/24/17,0,75,55
206,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/25/17,0,77,60
207,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/26/17,1.19,82,66
208,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/27/17,0,81,64
209,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/28/17,0,81,61
210,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/29/17,0,82,59
211,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/30/17,0,83,61
212,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",7/31/17,0,84,64
213,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/1/17,0,85,64
214,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/2/17,0,85,63
215,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/3/17,0.19,78,59
216,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/4/17,0.43,60,51
217,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/5/17,0,74,54
218,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/6/17,0.19,75,57
219,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/7/17,0.76,72,52
220,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/8/17,0,77,58
221,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/9/17,0,79,61
222,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/10/17,0.9,67,59
223,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/11/17,0.06,70,56
224,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/12/17,0,76,53
225,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/13/17,0,77,57
226,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/14/17,1.72,68,59
227,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/15/17,0.01,73,53
228,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/16/17,0.55,76,58
229,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/17/17,1.92,76,63
230,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/18/17,0.01,70,58
231,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/19/17,0,72,55
232,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/20/17,0,78,59
233,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/21/17,0,83,62
234,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/22/17,0.05,78,58
235,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/23/17,0,72,53
236,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/24/17,0,72,53
237,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/25/17,0.2,71,55
238,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/26/17,1.59,68,55
239,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/27/17,0.09,65,59
240,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/28/17,0.2,71,59
241,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/29/17,0,71,54
242,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/30/17,0,78,57
243,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",8/31/17,0.02,80,52
244,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/1/17,0,69,52
245,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/2/17,0,70,53
